court_code,closed_matters,median_days
3-91,2151,482.0
5-3N,7844,358.0
10-88,8780,317.0
9-77,5057,309.0
5-36,19240,307.0
9-76,3441,304.0
9-7-,3872,295.5
6-44,7137,294.0
1-01,21740,291.0
2-10,1857,288.0
2-05,14972,288.0
6-49,7659,282.0
1-03,4793,282.0
9-75,5355,281.0
8-68,2400,279.5
6-43,6955,278.0
5-37,6358,274.0
9-78,14439,270.0
8-69,2617,266.0
4-24,3736,266.0
3-11,4283,263.0
1-02,3300,263.0
7-55,7175,262.0
2-06,5598,260.0
5-38,19261,259.0
4-25,5988,256.0
8-60,6100,252.0
5-3L,47552,250.0
8-63,4182,248.0
2-09,5411,248.0
5-40,11971,246.0
7-56,11011,245.0
0-90,13393,245.0
10-82,18562,245.0
9-72,11855,240.0
10-84,7681,237.0
4-23,4700,237.0
4-19,6949,234.0
4-20,20545,234.0
8-61,4410,231.0
10-89,2373,231.0
8-62,2934,229.5
10-85,6922,229.0
10-83,9203,229.0
8-65,12894,227.0
9-80,3202,226.5
11-3G,4646,225.0
1-04,8411,225.0
11-3E,23484,224.0
2-08,75368,224.0
8-66,10176,223.0
6-51,6798,223.0
6-50,6944,220.0
9-79,10997,218.0
9-70,17282,217.5
3-12,46119,216.0
3-14,8899,216.0
6-48,13853,214.0
2-07,36062,209.0
9-74,13689,206.0
9-81,17124,205.0
5-39,34235,204.0
7-57,6763,202.0
7-54,4400,200.0
11-3J,4667,199.0
9-73,92853,198.0
8-64,15474,196.0
11-29,6171,195.0
5-42,20805,195.0
5-41,60366,192.0
10-87,13162,191.0
11-28,6797,189.0
11-26,15187,189.0
4-18,5120,188.5
6-46,6631,187.0
11-3A,37696,185.0
4-16,21089,183.0
7-52,44817,183.0
8-67,5730,182.0
7-53,4166,181.0
1-00,3287,179.0
4-17,7986,177.0
3-15,15173,175.0
6-47,18497,168.0
9-71,35730,168.0
11-27,6148,164.0
10-86,2720,164.0
3-13,45679,160.0
11-3C,54429,152.0
4-22,19249,151.0
6-45,43296,135.0
7-58,3677,134.0
