nature_of_suit_code,nature_of_suit,closed_matters,median_days,p25_days,p75_days
190,Other Contract Actions,588952,234.0,103.0,462.0
110,Insurance,376683,265.0,130.0,446.0
152,Recovery of Defaulted Student Loans,166985,106.0,68.0,178.0
120,Marine Contract Actions,72809,202.0,93.0,399.0
153,Recovery of Overpayments of Vet Benefits,46493,98.0,61.0,157.0
140,Negotiable Instruments,42084,224.0,108.0,438.0
130,Miller Act,23176,238.0,115.0,444.0
150,Overpayments & Enforcement of Judgments,15872,159.0,64.0,363.0
195,Contract Product Liability,13652,307.0,113.0,636.0
160,Stockholder's Suits,12266,280.0,98.0,635.75
196,Franchise,6415,200.0,97.0,378.0
151,Overpayments under the Medicare Act,5032,255.0,106.0,516.0
