filed_year,nature_of_suit_code,matters_filed
1988,110,8063
1988,120,3224
1988,130,1545
1988,140,3505
1988,150,754
1988,151,88
1988,152,5301
1988,153,11836
1988,160,262
1988,190,26482
1988,195,435
1989,110,7064
1989,120,3143
1989,130,1674
1989,140,3609
1989,150,585
1989,151,90
1989,152,6562
1989,153,6011
1989,160,252
1989,190,22742
1989,195,364
1990,110,7033
1990,120,2984
1990,130,1292
1990,140,2886
1990,150,433
1990,151,110
1990,152,3439
1990,153,3911
1990,160,266
1990,190,18601
1990,195,361
1991,110,7303
1991,120,3201
1991,130,1091
1991,140,3095
1991,150,416
1991,151,129
1991,152,8926
1991,153,4881
1991,160,213
1991,190,18927
1991,195,296
1992,110,7372
1992,120,3128
1992,130,786
1992,140,2455
1992,150,314
1992,151,114
1992,152,9481
1992,153,2690
1992,160,256
1992,190,17356
1992,195,293
1993,110,7230
1993,120,2834
1993,130,823
1993,140,1695
1993,150,276
1993,151,115
1993,152,1949
1993,153,1052
1993,160,224
1993,190,16214
1993,195,277
1994,110,7316
1994,120,2638
1994,130,843
1994,140,1430
1994,150,282
1994,151,95
1994,152,1247
1994,153,522
1994,160,230
1994,190,15800
1994,195,229
1995,110,7480
1995,120,2630
1995,130,791
1995,140,1498
1995,150,355
1995,151,74
1995,152,1017
1995,153,183
1995,160,248
1995,190,16007
1995,195,244
1996,110,7947
1996,120,2751
1996,130,883
1996,140,1109
1996,150,382
1996,151,98
1996,152,5643
1996,153,178
1996,160,278
1996,190,17154
1996,195,282
1997,110,7801
1997,120,2532
1997,130,861
1997,140,988
1997,150,325
1997,151,107
1997,152,11351
1997,153,78
1997,160,354
1997,190,17246
1997,195,293
1998,110,7189
1998,120,2509
1998,130,838
1998,140,614
1998,150,307
1998,151,129
1998,152,14116
1998,153,99
1998,160,332
1998,190,15262
1998,195,303
1999,110,7198
1999,120,2523
1999,130,767
1999,140,559
1999,150,251
1999,151,143
1999,152,24100
1999,153,31
1999,160,396
1999,190,16013
1999,195,291
2000,110,7559
2000,120,2347
2000,130,702
2000,140,521
2000,150,258
2000,151,131
2000,152,22484
2000,153,69
2000,160,474
2000,190,16502
2000,195,344
2001,110,7904
2001,120,2450
2001,130,545
2001,140,576
2001,150,215
2001,151,110
2001,152,10166
2001,153,117
2001,160,361
2001,190,17201
2001,195,277
2002,110,8794
2002,120,1985
2002,130,515
2002,140,587
2002,150,206
2002,151,137
2002,152,4218
2002,153,105
2002,160,390
2002,190,16633
2002,195,287
2003,110,8701
2003,120,1916
2003,130,408
2003,140,506
2003,150,274
2003,151,189
2003,152,2399
2003,153,48
2003,160,396
2003,190,15121
2003,195,296
2004,110,8010
2004,120,1546
2004,130,369
2004,140,419
2004,150,281
2004,151,93
2004,152,2588
2004,153,18
2004,160,439
2004,190,14117
2004,195,249
2004,196,1
2005,110,7713
2005,120,1419
2005,130,389
2005,140,420
2005,150,270
2005,151,139
2005,152,2525
2005,153,9
2005,160,348
2005,190,13429
2005,195,225
2005,196,233
2006,110,12627
2006,120,1767
2006,130,338
2006,140,359
2006,150,333
2006,151,153
2006,152,2592
2006,153,11
2006,160,464
2006,190,13686
2006,195,254
2006,196,285
2007,110,13673
2007,120,2000
2007,130,283
2007,140,387
2007,150,384
2007,151,145
2007,152,2658
2007,153,17
2007,160,351
2007,190,13489
2007,195,253
2007,196,385
2008,110,10060
2008,120,3046
2008,130,214
2008,140,525
2008,150,377
2008,151,137
2008,152,2783
2008,153,12
2008,160,277
2008,190,14194
2008,195,207
2008,196,404
2009,110,11222
2009,120,2691
2009,130,253
2009,140,1011
2009,150,483
2009,151,156
2009,152,2353
2009,153,17
2009,160,329
2009,190,15682
2009,195,254
2009,196,406
2010,110,9976
2010,120,1186
2010,130,290
2010,140,887
2010,150,478
2010,151,191
2010,152,3020
2010,153,9
2010,160,379
2010,190,14259
2010,195,288
2010,196,370
2011,110,8512
2011,120,1102
2011,130,431
2011,140,911
2011,150,521
2011,151,159
2011,152,4318
2011,153,9
2011,160,415
2011,190,13933
2011,195,222
2011,196,438
2012,110,8912
2012,120,1006
2012,130,580
2012,140,707
2012,150,536
2012,151,87
2012,152,2195
2012,153,5
2012,160,332
2012,190,13025
2012,195,243
2012,196,373
2013,110,11388
2013,120,973
2013,130,462
2013,140,631
2013,150,530
2013,151,98
2013,152,1877
2013,153,4
2013,160,334
2013,190,11981
2013,195,202
2013,196,468
2014,110,11271
2014,120,805
2014,130,483
2014,140,557
2014,150,519
2014,151,160
2014,152,1585
2014,153,11
2014,160,294
2014,190,11410
2014,195,246
2014,196,438
2015,110,9261
2015,120,886
2015,130,388
2015,140,492
2015,150,493
2015,151,135
2015,152,1462
2015,153,3
2015,160,242
2015,190,11437
2015,195,425
2015,196,359
2016,110,8726
2016,120,790
2016,130,304
2016,140,459
2016,150,481
2016,151,136
2016,152,884
2016,153,6
2016,160,257
2016,190,10936
2016,195,236
2016,196,323
2017,110,9883
2017,120,600
2017,130,275
2017,140,484
2017,150,467
2017,151,198
2017,152,588
2017,153,26
2017,160,297
2017,190,11279
2017,195,312
2017,196,277
2018,110,10568
2018,120,660
2018,130,271
2018,140,407
2018,150,440
2018,151,204
2018,152,474
2018,153,1
2018,160,317
2018,190,11065
2018,195,1533
2018,196,275
2019,110,10560
2019,120,737
2019,130,248
2019,140,429
2019,150,486
2019,151,196
2019,152,160
2019,160,314
2019,190,11168
2019,195,449
2019,196,305
2020,110,11912
2020,120,685
2020,130,242
2020,140,348
2020,150,464
2020,151,141
2020,152,30
2020,153,4
2020,160,319
2020,190,11516
2020,195,496
2020,196,217
2021,110,14187
2021,120,648
2021,130,157
2021,140,331
2021,150,345
2021,151,147
2021,152,7
2021,153,1
2021,160,260
2021,190,9579
2021,195,398
2021,196,185
2022,110,18387
2022,120,787
2022,130,194
2022,140,292
2022,150,369
2022,151,206
2022,152,11
2022,153,5
2022,160,225
2022,190,9547
2022,195,423
2022,196,203
2023,110,17127
2023,120,647
2023,130,203
2023,140,472
2023,150,417
2023,151,129
2023,152,7
2023,153,7
2023,160,246
2023,190,11394
2023,195,466
2023,196,180
2024,110,12369
2024,120,583
2024,130,162
2024,140,522
2024,150,509
2024,151,147
2024,152,21
2024,153,3
2024,160,328
2024,190,13018
2024,195,405
2024,196,222
2025,110,13622
2025,120,566
2025,130,144
2025,140,478
2025,150,519
2025,151,196
2025,152,32
2025,153,4
2025,160,438
2025,190,13952
2025,195,545
2025,196,230
2026,110,6882
2026,120,270
2026,130,80
2026,140,228
2026,150,216
2026,151,87
2026,152,10
2026,153,3
2026,160,195
2026,190,6559
2026,195,212
2026,196,157
